,Project_Id,Project,Item_Id,Content,Date,Energy,Time
0,190555550,None,2200735265,Do the laundry and fold clothes (if time allows) @Normal-energy @60-minutes,Sun 31 Dec 2017 14:27:08 +0000,None,None
1,190555550,None,87202330,Conduct GTD weekly review according to template @Normal-energy @60-minutes,Sun 31 Dec 2017 14:27:04 +0000,None,None
2,180416408,None,2453991536,Sort items for Keep and Donation in Jesse's room @Low-energy @60-minutes,Sun 31 Dec 2017 14:12:46 +0000,None,None
3,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Sun 31 Dec 2017 14:11:41 +0000,None,None
4,2165537638,None,2449385146,PlanningGraph.h_levelsum method @30-minutes @High-energy,Sat 30 Dec 2017 15:24:19 +0000,None,None
5,180416408,None,2453016179,Deliver cube storage unit to Shamika in Greenbriar Hills @Low-energy @60-minutes,Sat 30 Dec 2017 03:34:41 +0000,None,None
6,180416408,None,2453016018,Sort items from basement and closet into piles @High-energy @60-minutes,Sat 30 Dec 2017 03:34:07 +0000,None,None
7,2165537638,None,2449385064,PlanningGraph.inconsistent_support_mutex method @Low-energy @5-minutes,Sat 30 Dec 2017 01:47:32 +0000,None,None
8,2165537638,None,2449384974,PlanningGraph.negation_mutex method @Low-energy @5-minutes,Sat 30 Dec 2017 01:36:38 +0000,None,None
9,2165537638,None,2449384886,PlanningGraph.competing_needs_mutex method @30-minutes @Normal-energy,Sat 30 Dec 2017 01:23:19 +0000,None,None
10,2165537638,None,2449384828,PlanningGraph.interference_mutex method @30-minutes @Normal-energy,Sat 30 Dec 2017 01:23:19 +0000,None,None
11,2165537638,None,2449384759,PlanningGraph.inconsistent_effects_mutex method @30-minutes @Normal-energy,Sat 30 Dec 2017 01:23:19 +0000,None,None
12,2165537638,None,2449384532,PlanningGraph.add_literal_level method @30-minutes @High-energy,Thu 28 Dec 2017 21:07:42 +0000,None,None
13,2165537638,None,2449384233,PlanningGraph.add_action_level method @30-minutes @High-energy,Thu 28 Dec 2017 21:07:42 +0000,None,None
14,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Thu 28 Dec 2017 01:50:06 +0000,None,None
15,180416408,None,2450858498,Purchase hardware at Lowe's to fix up bed before sale @30-minutes @Low-energy,Wed 27 Dec 2017 22:07:53 +0000,None,None
16,180416408,None,2450807723,Post TV for sale on Craiglist / Facebook @30-minutes @Low-energy,Wed 27 Dec 2017 21:06:48 +0000,None,None
17,180416408,None,2450808074,Post bed for sale on Craigslist / Facebook @30-minutes @Low-energy,Wed 27 Dec 2017 21:06:47 +0000,None,None
18,180416408,None,2450808329,Post cube storage unit for sale on Craigslist / Facebook @30-minutes @Low-energy,Wed 27 Dec 2017 21:06:44 +0000,None,None
19,180416408,None,2448801044,Complete annual review for the past year (2017) @Low-energy @60-minutes,Wed 27 Dec 2017 02:50:58 +0000,None,None
20,181003063,None,2448805117,Send emails reviewing transition topics with Kevin and Quentin @Low-energy @60-minutes,Tue 26 Dec 2017 19:52:39 +0000,None,None
21,181003063,None,2448804946,Meet with Kevin to go over connectivity PV list @Low-energy @60-minutes,Tue 26 Dec 2017 19:04:45 +0000,None,None
22,180416408,None,2448763536,Cancel Vanguard direct deposit from Siemens paycheck @Low-energy @5-minutes,Tue 26 Dec 2017 13:50:18 +0000,None,None
23,180416408,None,2448248234,Verify availability of floating holiday with Siemens @Low-energy @5-minutes,Tue 26 Dec 2017 13:38:28 +0000,None,None
24,190555550,None,87202330,Conduct GTD weekly review according to template @Normal-energy @60-minutes,Tue 26 Dec 2017 11:58:17 +0000,None,None
25,2165537638,None,2431987648,Implement heuristic method in my_air_cargo_problems.py @High-energy @60-minutes,Tue 26 Dec 2017 01:48:13 +0000,None,None
26,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Tue 26 Dec 2017 01:48:04 +0000,None,None
27,190555550,None,2200735265,Do the laundry and fold clothes (if time allows) @Normal-energy @60-minutes,Tue 26 Dec 2017 01:48:02 +0000,None,None
28,180416408,None,2447969585,Order LCD heat plate from eBay to complete repair @30-minutes @Low-energy,Sat 23 Dec 2017 22:58:18 +0000,None,None
29,180416408,None,2447969253,Reintroduce Graham to Sam to discuss internship opportunities @Low-energy @5-minutes,Sat 23 Dec 2017 22:57:27 +0000,None,None
30,189435039,None,2447301626,Research trip itinerary for visit to Savannah @Low-energy @60-minutes,Fri 22 Dec 2017 23:30:47 +0000,None,None
31,2165537638,None,2431987518,Read AIMA section on Planning Search @High-energy @60-minutes,Fri 22 Dec 2017 23:04:22 +0000,None,None
32,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Fri 22 Dec 2017 03:02:34 +0000,None,None
33,180431991,None,2416913452,Winter Jacket @Low-energy @60-minutes,Thu 21 Dec 2017 21:21:20 +0000,None,None
34,181003063,None,2446006582,Provide STP files for HE630 model to Mark Shmukler @Low-energy @5-minutes,Thu 21 Dec 2017 19:27:23 +0000,None,None
35,181003063,None,2446005774,Provide feedback for spare medium shield kits to Dominik @Low-energy @5-minutes,Thu 21 Dec 2017 19:26:26 +0000,None,None
36,180416408,None,2440549060,Ask Kevin for help removing superglue from screwdriver @Low-energy @5-minutes,Thu 21 Dec 2017 19:25:49 +0000,None,None
37,181003063,None,2444995466,Host meeting with MTY to discuss status of prototype build @30-minutes @Low-energy,Thu 21 Dec 2017 00:02:08 +0000,None,None
38,181003063,None,2444994402,Help Shmukler investigate mechanism and main springs for HE630 @Low-energy @5-minutes,Thu 21 Dec 2017 00:02:08 +0000,None,None
39,181003063,None,2444994771,Review housing and connectivity topics with Kevin @Low-energy @60-minutes,Thu 21 Dec 2017 00:02:07 +0000,None,None
40,181003063,None,2444994602,Review NEA and part tracking documents with Quentin @30-minutes @Low-energy,Thu 21 Dec 2017 00:02:07 +0000,None,None
41,181003063,None,2444363203,Talk Ken through release of TMTU copper path in CADIM @30-minutes @Low-energy,Thu 21 Dec 2017 00:02:07 +0000,None,None
42,2165537638,None,2431981268,Implement methods and functions in my_air_cargo_problems.py @High-energy @60-minutes,Wed 20 Dec 2017 13:41:44 +0000,None,None
43,181003063,None,2439763067,Request information from logistics colleagues about lug orders @30-minutes @Low-energy,Wed 20 Dec 2017 13:41:34 +0000,None,None
44,181003063,None,2443824040,Meet with Quentin again to review transition topics @Low-energy @60-minutes,Wed 20 Dec 2017 04:08:12 +0000,None,None
45,181003063,None,2443823767,Host TMTU prototype status meeting with project team @30-minutes @Normal-energy,Wed 20 Dec 2017 04:07:41 +0000,None,None
46,181003063,None,2443823563,Host weekly Laurel D-ECO meeting with project team @Low-energy @60-minutes,Wed 20 Dec 2017 04:07:31 +0000,None,None
47,181003063,None,2443823497,Host weekly Laurel Instruction Sheet meeting @30-minutes @Low-energy,Wed 20 Dec 2017 04:07:28 +0000,None,None
48,187244722,None,2432336144,Call AskHR & YBR to determine post employment benefits @30-minutes @Low-energy,Tue 19 Dec 2017 19:13:19 +0000,None,None
49,181003063,None,2442293270,Meet with Quentin to go over master data topics @Low-energy @60-minutes,Mon 18 Dec 2017 23:31:38 +0000,None,None
50,181003063,None,2442293044,Host meeting with MTY to create detailed TMTU build schedule @High-energy @60-minutes,Mon 18 Dec 2017 23:31:22 +0000,None,None
51,181003063,None,2442292577,Host weekly Laurel Connectivity PV meeting @30-minutes @Low-energy,Mon 18 Dec 2017 23:30:56 +0000,None,None
52,181003063,None,2442292411,Host weekly Laurel test tracking meeting with project team @High-energy @60-minutes,Mon 18 Dec 2017 23:30:56 +0000,None,None
53,190555550,None,2200735265,Do the laundry and fold clothes (if time allows) @Normal-energy @60-minutes,Sun 17 Dec 2017 19:45:10 +0000,None,None
54,190555550,None,87202330,Conduct GTD weekly review according to template @Normal-energy @60-minutes,Sun 17 Dec 2017 18:31:26 +0000,None,None
55,181003063,None,2437635391,Ship arc runner screws and bimetal ramps to MTY @30-minutes @Low-energy,Sun 17 Dec 2017 17:46:28 +0000,None,None
56,187244722,None,2440061400,Figure out place to stay in January in Atlanta @30-minutes @Normal-energy,Sun 17 Dec 2017 01:26:58 +0000,None,None
57,187244722,None,2414437131,Book room for February stay in San Francisco Bay Area @High-energy @60-minutes,Sun 17 Dec 2017 01:26:58 +0000,None,None
58,2165537638,None,2439817092,Read about Python's unit test framework @High-energy @60-minutes,Sat 16 Dec 2017 22:01:55 +0000,None,None
59,2165537638,None,2439813255,Review example_have_cake.py file in detail @High-energy @60-minutes,Sat 16 Dec 2017 22:01:52 +0000,None,None
60,181003063,None,2439762308,Request clarification from Soukup on sample requests @Low-energy @5-minutes,Sat 16 Dec 2017 16:09:57 +0000,None,None
61,180416408,None,2431499088,Complete inventory of all my items in the apartment @Normal-energy @60-minutes,Sat 16 Dec 2017 16:08:14 +0000,None,None
62,181003063,None,2439759894,Attend PM275 meeting for TA3.2 lug kits @30-minutes @Low-energy,Sat 16 Dec 2017 16:07:16 +0000,None,None
63,181003063,None,2439759603,Attend weekly Laurel HK-tracking meeting @30-minutes @Low-energy,Sat 16 Dec 2017 16:07:12 +0000,None,None
64,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Fri 15 Dec 2017 18:33:14 +0000,None,None
65,187244722,None,2432287151,Finalize transition plan with Jorg and management @High-energy @60-minutes,Thu 14 Dec 2017 23:04:04 +0000,None,None
66,181003063,None,2437720459,Attend meeting with M. Gruenert to discuss prototype TMTU needs @Low-energy @60-minutes,Thu 14 Dec 2017 16:52:51 +0000,None,None
67,181003063,None,2420410349,Process 11D25930 for busbar mounting screw kit 630A / PN change @30-minutes @Low-energy,Thu 14 Dec 2017 15:04:44 +0000,None,None
68,181003063,None,2421713379,Perform salt spray test for accessory cover screws @Low-energy @60-minutes,Thu 14 Dec 2017 15:02:45 +0000,None,None
69,181003063,None,2365021028,Follow-up with LTO colleagues on production of 5F copper @Low-energy @5-minutes,Thu 14 Dec 2017 14:34:29 +0000,None,None
70,2165537638,None,2431982215,Read AIMA section on Planning with State-Space Search @High-energy @60-minutes,Thu 14 Dec 2017 12:29:29 +0000,None,None
71,181003063,None,2436600167,Attend Laurel weekly PV meeting with project team @Low-energy @60-minutes,Wed 13 Dec 2017 20:06:22 +0000,None,None
72,181003063,None,2436600983,Document TMTU master data plan and send to team @30-minutes @Low-energy,Wed 13 Dec 2017 20:06:22 +0000,None,None
73,181003063,None,2436602179,Attend project planning meeting in Jorg's office @Normal-energy @60-minutes,Wed 13 Dec 2017 20:06:21 +0000,None,None
74,181003063,None,2433740796,Respond to Eduardo's email about breaker construction for TMTU @Low-energy @5-minutes,Wed 13 Dec 2017 20:03:46 +0000,None,None
75,2165537638,None,2431982019,Read AIMA section on The Planning Problem @High-energy @60-minutes,Wed 13 Dec 2017 13:17:05 +0000,None,None
76,180416408,None,2432389483,Buy groceries and visit BPP at Coventry Place @Normal-energy @60-minutes,Wed 13 Dec 2017 03:07:25 +0000,None,None
77,181003063,None,2435310167,Provide BoMs of cylinder lock and padlock to Paul @Low-energy @5-minutes,Tue 12 Dec 2017 22:10:20 +0000,None,None
78,181003063,None,2435309681,Respond to email from M. Rettinger about TMTU laser / label database @Low-energy @5-minutes,Tue 12 Dec 2017 22:10:20 +0000,None,None
79,181003063,None,2435308846,Host weekly Laurel connectivity PV meeting @Normal-energy @60-minutes,Tue 12 Dec 2017 22:10:17 +0000,None,None
80,181003063,None,2435308530,Fix TMTU BoMs per request from Gruenert @Low-energy @5-minutes,Tue 12 Dec 2017 22:10:15 +0000,None,None
81,181003063,None,2435308293,Attend Tecnostamp meeting with MTY colleagues @30-minutes @Low-energy,Tue 12 Dec 2017 22:10:15 +0000,None,None
82,181003063,None,2435307708,Host weekly Laurel D-ECO meeting with project team @Low-energy @60-minutes,Tue 12 Dec 2017 22:10:15 +0000,None,None
83,180416408,None,2434119743,Shop Macy's for jeans that are good for slim wear @Low-energy @5-minutes,Tue 12 Dec 2017 04:05:39 +0000,None,None
84,181003063,None,2433752737,Ship Laurel customs breaker shipment to Amberg @Low-energy @5-minutes,Mon 11 Dec 2017 23:03:03 +0000,None,None
85,181003063,None,2433753004,Ship 3P Nutkeeper to Pavel per Quentin's request @Low-energy @5-minutes,Mon 11 Dec 2017 23:03:03 +0000,None,None
86,181003063,None,2433757224,Ship backup batch of frame tie absorbers to Zehrco for use @30-minutes @Low-energy,Mon 11 Dec 2017 23:03:03 +0000,None,None
87,181003063,None,2433754363,Attend Laurel Basic Breaker production meeting @30-minutes @Low-energy,Mon 11 Dec 2017 23:03:03 +0000,None,None
88,181003063,None,2433754990,Host Laurel test tracking meeting and send out meeting minutes @Low-energy @60-minutes,Mon 11 Dec 2017 23:03:03 +0000,None,None
89,181003063,None,2433755783,Respond to Sabine Ipsen about questions regarding SCIAM instructions @30-minutes @Low-energy,Mon 11 Dec 2017 23:03:03 +0000,None,None
90,181003063,None,2433769864,Discuss potential lost UPS shipment with Rich Sible and Mike Lunceford @30-minutes @High-energy,Mon 11 Dec 2017 23:03:03 +0000,None,None
91,187244722,None,2419995124,Write resignation letter and provide to Jorg @30-minutes @Low-energy,Mon 11 Dec 2017 23:02:32 +0000,None,None
92,181003063,None,2390229925,Follow-up with Peter Weiss about creation of UL type test plan @Low-energy @60-minutes,Mon 11 Dec 2017 20:39:15 +0000,None,None
93,189435039,None,2432331521,Place Singer sewing machine for Mom on table in her room @Low-energy @5-minutes,Sun 10 Dec 2017 23:07:45 +0000,None,None
94,189435039,None,2432331139,Help Dad setup Windows 8 laptop with Microsoft login @Low-energy @5-minutes,Sun 10 Dec 2017 23:07:44 +0000,None,None
95,180416408,None,2431953626,Inquire about membership in SF Shapers Group @Low-energy @5-minutes,Sun 10 Dec 2017 23:05:43 +0000,None,None
96,180416408,None,2431953419,Respond to George Ray's email about BPP support next year @Low-energy @5-minutes,Sun 10 Dec 2017 22:53:17 +0000,None,None
97,190555550,None,87202330,Conduct GTD weekly review according to template @Normal-energy @60-minutes,Sun 10 Dec 2017 22:00:31 +0000,None,None
98,180416408,None,2397448861,Review Healthcare.gov application and shop for plans @High-energy @60-minutes,Sun 10 Dec 2017 21:23:54 +0000,None,None
99,2165537638,None,2431638786,Review and understand project requirements @High-energy @60-minutes,Sun 10 Dec 2017 16:16:53 +0000,None,None
100,181003063,None,2415437495,Follow-up on status of laser and label mark @30-minutes @Low-energy,Sun 10 Dec 2017 15:58:34 +0000,None,None
101,2165537638,None,2431634748,Sub-Task,Sun 10 Dec 2017 04:16:14 +0000,None,None
102,180416408,None,2426803577,Gift wrap and mail secret santa gift to recipient @Low-energy @60-minutes,Sat 09 Dec 2017 21:55:32 +0000,None,None
103,190555550,None,2200735265,Do the laundry and fold clothes (if time allows) @Normal-energy @60-minutes,Sat 09 Dec 2017 21:06:55 +0000,None,None
104,181003063,None,2430914417,Attend meeting to discuss HK production costs @30-minutes @Low-energy,Sat 09 Dec 2017 04:31:05 +0000,None,None
105,181003063,None,2430914238,Attend meeting to discuss contents of TMTU BoMs for prototype breakers @30-minutes @Low-energy,Sat 09 Dec 2017 04:30:30 +0000,None,None
106,2165537638,None,2378927110,Lesson 9 : Planning @High-energy @60-minutes,Sat 09 Dec 2017 04:29:03 +0000,None,None
107,190555550,None,84028045,"Do some form of physical activity (run, lift, stretch, sports, etc) @Normal-energy @60-minutes",Fri 08 Dec 2017 01:50:58 +0000,None,None
108,181003063,None,2429489534,Provide feedback to Cynthia on use of TA3.1 lugs in production @30-minutes @Low-energy,Thu 07 Dec 2017 21:19:56 +0000,None,None
109,181003063,None,2426926690,Make an order at DB Roberts or MSC for threaded inserts @30-minutes @Low-energy,Thu 07 Dec 2017 20:56:07 +0000,None,None
110,181003063,None,2429394732,Review shipment dates from CMC in Jorg's email and provide feedback @Low-energy @5-minutes,Thu 07 Dec 2017 19:29:04 +0000,None,None
111,181003063,None,2428058801,Make shipment of frame ties to production supplier Zehrco @30-minutes @Normal-energy,Thu 07 Dec 2017 19:28:22 +0000,None,None
112,181003063,None,2426942830,Make shipment of spring hook and main springs parts to MTY for Joie @30-minutes @Normal-energy,Thu 07 Dec 2017 19:28:22 +0000,None,None
113,2165537638,None,2423759909,Compile summary report for project @High-energy @Waiting @60-minutes,Thu 07 Dec 2017 02:08:06 +0000,None,None
114,181003063,None,2428150783,Provide Juan Quintana with resources on NX & 2D drafting @30-minutes @Low-energy,Wed 06 Dec 2017 22:20:18 +0000,None,None
115,181003063,None,2426926403,Place instruction drafts in Sabine's network folder @Low-energy @5-minutes,Wed 06 Dec 2017 21:53:02 +0000,None,None
