,id,color,parent_id
Inbox,180416404,7,None
Personal,180416408,8,None
Weekly Habits,190555550,17,180416408
Bridge Year,187244722,12,180416408
Community Bucket,194942145,15,180416408
Family,189435039,19,None
SIEMENS,181003063,11,None
Shopping,180431991,9,None
Future Projects,182035396,8,None
Bucket List,2148533029,15,None
Alexa,2169461876,21,None
Insurance Claim,193316215,16,180416408
IPND,195593990,9,180416408
Laptop Migration,2157130930,21,180416408
Git & GitHub,2159887587,9,180416408
AIND-1,2165537638,9,None
Daily Habits,2174304408,15,180416408
Professional,2178087057,11,None
AIND-2,2178087058,9,2178087057
Housing Data,2178087090,16,2178087057
Congressional Data,2178087070,18,2178087057
